SessionID,AdClicks,InfoSectionCount,InfoSectionTime,HelpPageVisits,HelpPageTime,ItemBrowseCount,ItemBrowseTime,ExitRateFirstPage,SessionExitRatio,PageEngagementScore,HolidayProximityIndex,VisitMonth,UserPlatformID,WebClientCode,MarketZone,TrafficSourceCode,UserCategory,IsWeekendVisit,MonetaryConversion
jv3uDyqYltpoXreO,0,0,0,0,0,1,0,0.2,0.2,0,0,February,Windows,Safari,North America,1,Returning,FALSE,No
eBHG5YGyco8TRlac,4,0,0,0,0,2,64,0,0.1,0,0,February,Android,Chrome,,2,Returning,FALSE,No
Lz5fuqr91SKGHb5N,0,0,0,0,0,1,0,0.2,0.2,0,0,February,MacOS,Safari,Other,3,Returning,FALSE,No
cyOsumxkpNEvKIdc,4,0,0,0,0,2,2.666666667,0.05,0.14,0,0,February,iOS,,Europe,4,Returning,FALSE,No
F4rTMKOqtoPKzxw9,2,0,0,0,0,10,627.5,0.02,0.05,0,,February,iOS,Internet Explorer,,4,Returning,TRUE,No
4VMhpHx3vORvMBM6,2,0,0,0,0,19,154.2166667,0.015789474,0.024561404,0,0,February,,Chrome,North America,3,Returning,FALSE,No
Sh1EYwNiXcpybejd,4,0,0,0,0,1,0,0.2,0.2,0,0.4,February,Android,Edge,Asia-Pacific,3,Returning,FALSE,No
qAu6Pi4UMWbv6CUs,1,1,0,0,0,0,0,0.2,0.2,0,0,February,Windows,Chrome,North America,5,,TRUE,No
isv5YRz1f8xaebTG,,0,0,0,0,2,37,0,0.1,0,0.8,February,Android,Chrome,Europe,3,Returning,FALSE,No
fhZ1zBBiKD6zN76T,1,0,0,0,0,,,0,0.022222222,0,0.4,February,Android,Edge,North America,2,Returning,FALSE,No
ce2ZN1VHlrRHgmUl,0,0,0,0,0,3,395,0,0.066666667,0,0,February,Windows,Safari,Asia-Pacific,3,Returning,FALSE,No
MF1J9gxqh9HKCCgf,2,0,0,0,0,16,407.75,0.01875,0.025833333,0,0.4,February,Windows,Safari,South America,3,Returning,FALSE,No
CMzyGkiPNTYntFvt,2,0,0,0,0,7,280.5,0,0.028571429,0,0,February,Windows,Safari,North America,3,Returning,FALSE,No
kQmdskcIY8NsTXDU,3,0,0,0,0,6,98,0,0.066666667,0,0,February,Android,Firefox,North America,3,Returning,FALSE,No
chFWvPLQexY11n33,2,0,0,0,0,2,68,0,0.1,0,0,February,iOS,Chrome,Asia-Pacific,3,Returning,FALSE,No
tLritlvwwoIt8FAo,3,2,53,0,0,23,1668.285119,0.008333333,0.016312636,0,0,February,Windows,Safari,Other,3,Returning,FALSE,No
wEwG5ELGJ60PqjXL,3,0,0,0,0,1,0,0.2,0.2,,,February,Windows,Safari,South America,3,Returning,FALSE,No
tAkDW6TzsKZGoi4c,0,0,0,0,0,13,334.9666667,0,0.007692308,0,0,February,Windows,Safari,North America,4,,TRUE,No
JppCZCd58pDs49ND,1,0,0,0,0,,,0,0.1,0,0,February,Android,Chrome,North America,3,Returning,FALSE,No
gGvQ9aOhqSsbPjKc,3,0,0,0,0,20,2981.166667,0,0.01,0,0,February,Android,Edge,South America,4,Returning,FALSE,No
dCuA0xRwWeHBYPGU,3,0,0,0,0,8,136.1666667,0,0.008333333,0,1,February,Android,Chrome,Africa,1,Returning,TRUE,No
qWLlW2rUhxfIGRm5,0,0,0,0,0,2,0,0.2,0.2,0,0,February,iOS,Internet Explorer,North America,3,Returning,FALSE,No
L8yKTHzpkoDoBhy6,1,0,0,0,0,3,105,0,0.033333333,0,0,February,iOS,Chrome,North America,5,Returning,FALSE,No
0rvRiLiPPLRMlKVU,0,0,0,,,2,15,0,0.1,0,0.8,February,Android,Edge,North America,3,Returning,FALSE,No
YjDfxKhFhvUnht3F,2,0,0,0,0,1,0,0.2,0.2,0,0,February,Android,Chrome,South America,1,Returning,TRUE,No
